*1000Hz	-36.0

20.00	0.2
20.55	0.2
21.11	0.2
21.69	0.3
22.29	0.3
22.90	0.3
23.53	0.3
24.18	0.3
24.84	0.3
25.52	0.4
26.22	0.4
26.94	0.5
27.68	0.5
28.44	0.5
29.22	0.6
30.03	0.7
30.85	0.7
31.70	0.8
32.57	0.9
33.46	1.0
34.38	1.1
35.33	1.1
36.30	1.2
37.29	1.3
38.32	1.4
39.37	1.4
40.45	1.4
41.56	1.5
42.70	1.5
43.87	1.6
45.08	1.6
46.32	1.6
47.59	1.6
48.90	1.6
50.24	1.6
51.62	1.6
53.03	1.6
54.49	1.5
55.99	1.5
57.52	1.5
59.10	1.4
60.73	1.4
62.39	1.3
64.11	1.3
65.87	1.3
67.68	1.2
69.54	1.2
71.44	1.1
73.41	1.1
75.42	1.1
77.49	1.0
79.62	1.0
81.81	1.0
84.05	1.0
86.36	0.9
88.73	0.9
91.17	0.9
93.67	1.0
96.25	1.0
98.89	1.0
101.60	1.1
104.39	1.1
107.26	1.1
110.21	1.1
113.23	1.2
116.34	1.2
119.54	1.2
122.82	1.3
126.19	1.3
129.66	1.3
133.22	1.3
136.87	1.3
140.63	1.3
144.50	1.3
148.46	1.3
152.54	1.2
156.73	1.2
161.03	1.2
165.45	1.1
170.00	1.1
174.67	1.0
179.46	1.0
184.39	1.0
189.45	1.0
194.65	0.9
200.00	0.9
205.49	0.9
211.13	0.8
216.93	0.8
222.89	0.8
229.01	0.8
235.30	0.8
241.76	0.8
248.40	0.8
255.22	0.8
262.23	0.8
269.43	0.8
276.83	0.9
284.43	0.9
292.24	0.9
300.26	0.8
308.51	0.8
316.98	0.8
325.68	0.8
334.63	0.8
343.81	0.8
353.26	0.8
362.96	0.7
372.92	0.7
383.16	0.7
393.68	0.7
404.49	0.7
415.60	0.6
427.01	0.6
438.74	0.6
450.79	0.6
463.17	0.6
475.88	0.6
488.95	0.6
502.38	0.6
516.17	0.6
530.35	0.6
544.91	0.6
559.87	0.6
575.25	0.6
591.04	0.6
607.27	0.6
623.95	0.5
641.08	0.5
658.68	0.5
676.77	0.5
695.35	0.5
714.45	0.5
734.07	0.4
754.22	0.4
774.94	0.4
796.21	0.3
818.08	0.3
840.54	0.2
863.62	0.2
887.34	0.2
911.70	0.1
936.74	0.1
962.46	0.1
988.89	0.0
1016.04	-0.0
1043.94	-0.0
1072.61	-0.1
1102.06	-0.1
1132.33	-0.1
1163.42	-0.1
1195.37	-0.2
1228.19	-0.2
1261.91	-0.2
1296.57	-0.2
1332.17	-0.3
1368.75	-0.3
1406.34	-0.3
1444.95	-0.4
1484.63	-0.4
1525.40	-0.4
1567.28	-0.4
1610.32	-0.4
1654.54	-0.4
1699.97	-0.5
1746.65	-0.5
1794.61	-0.5
1843.89	-0.5
1894.53	-0.5
1946.55	-0.5
2000.00	-0.4
2054.92	-0.4
2111.35	-0.4
2169.32	-0.4
2228.89	-0.3
2290.10	-0.3
2352.98	-0.3
2417.59	-0.3
2483.98	-0.2
2552.19	-0.2
2622.27	-0.2
2694.27	-0.1
2768.26	-0.1
2844.27	-0.1
2922.37	-0.1
3002.62	-0.1
3085.07	-0.1
3169.79	-0.2
3256.83	-0.2
3346.26	-0.3
3438.14	-0.4
3532.55	-0.5
3629.56	-0.6
3729.22	-0.6
3831.62	-0.7
3936.84	-0.9
4044.94	-0.9
4156.01	-1.0
4270.14	-1.1
4387.39	-1.2
4507.87	-1.4
4631.65	-1.5
4758.83	-1.5
4889.51	-1.6
5023.77	-1.6
5161.72	-1.6
5303.46	-1.6
5449.09	-1.5
5598.72	-1.5
5752.46	-1.5
5910.42	-1.4
6072.72	-1.4
6239.47	-1.3
6410.80	-1.3
6586.84	-1.3
6767.71	-1.2
6953.55	-1.2
7144.49	-1.2
7340.67	-1.2
7542.24	-1.2
7749.35	-1.2
7962.14	-1.2
8180.78	-1.3
8405.42	-1.4
8636.23	-1.6
8873.37	-1.6
9117.03	-1.7
9367.38	-1.7
9624.61	-1.8
9888.89	-2.0
10160.44	-2.1
10439.44	-2.1
10726.10	-2.2
11020.63	-2.2
11323.25	-2.3
11634.18	-2.3
11953.65	-2.4
12281.89	-2.4
12619.15	-2.4
12965.66	-2.5
13321.69	-2.4
13687.50	-2.4
14063.35	-2.4
14449.52	-2.5
14846.30	-2.5
15253.97	-2.5
15672.84	-2.5
16103.21	-2.5
16545.39	-2.5
16999.72	-2.6
17466.52	-2.7
17946.14	-2.8
18438.94	-2.8
18945.26	-2.9
19465.49	-2.9
20000.00	-3.0
